keys,fr,de,da,id,nb,sv,nl,vi,ms,ko
Common_Quit,Quitter,Beenden,Afslut,Keluar,Avslutt,Avsluta,Afsluiten,Thoát,Keluar,종료
Common_Restart,Redémarrer,Neu starten,Genstart,Mulai ulang,Start på nytt,Starta om,Herstart,Khởi động lại,Mula semula,다시 시작
Common_Play,Jouer,Spielen,Spil,Main,Begynn,Spela,Spelen,Chơi,Main,플레이
Common_Desktop,Compagnon de bureau,Desktop-Begleiter,Skrivebordskæledyr,Peliharaan Desktop,Skrivebordskjæledyr,Skrivbordskompis,Bureaubladmaatje,Thú cưng màn hình nền,Haiwan Peliharaan Desktop,데스크톱 펫
Common_Cancel,Annuler,Abbrechen,Annuller,Batal,Avbryt,Avbryt,Annuleren,Hủy,Batal,취소
Common_Confirm,Confirmer,Bestätigen,Bekræft,Konfirmasi,Bekreft,Bekräfta,Bevestigen,Xác nhận,Sahkan,확인
Settings_Tab_Wardrobe,Garde-robe,Garderobe,Garderobe,Lemari pakaian,Garderobe,Garderob,Garderobe,Tủ đồ,Almari pakaian,꾸미기
Settings_Tab_LinkTree,Liens,Links,Links,Tautan,Lenker,Länkar,Links,Liên kết,Pautan,링크
Settings_Tab_Settings,Paramètres,Einstellungen,Indstillinger,Pengaturan,Innstillinger,Inställningar,Instellingen,Cài đặt,Tetapan,설정
Settings_Tab_Debug,Débogage,Debug,Fejlfinding,Debugging,Feilsøking,Felsökning,Foutopsporing,Gỡ lỗi,Penyahpepijatan,디버그
Settings_General,Général,Allgemein,Generelt,Umum,Generelt,Allmänt,Algemeen,Chung,Umum,일반
Settings_SoundEffects,Effets sonores,Soundeffekte,Lydeffekter,Efek suara,Lydeffekter,Ljudeffekter,Geluidseffecten,Hiệu ứng âm thanh,Kesan bunyi,효과음
Settings_Music,Musique,Musik,Musik,Musik,Musikk,Musik,Muziek,Nhạc,Muzik,음악
Settings_PlayBgmInDesktop,Jouer la musique en mode compagnon de bureau,BGM im Desktop-Modus abspielen,Afspil BGM i skrivebordstilstand,Putar BGM dalam Mode Desktop,Spill BGM i skrivebordsmodus,Spela BGM i skrivbordsläge,BGM afspelen in bureaubladmodus,Phát BGM ở chế độ thú cưng màn hình nền,Mainkan BGM dalam Mod Desktop,BGM 재생
Settings_Language,Langue,Sprache,Sprog,Bahasa,Språk,Språk,Taal,Ngôn ngữ,Bahasa,언어
Settings_Language_System,Système,System,System,Sistem,System,System,Systeem,Hệ thống,Sistem,시스템
Settings_Language_English,Anglais,Englisch,Engelsk,Inggris,Engelsk,Engelska,Engels,Tiếng Anh,Bahasa Inggeris,영어
Settings_Language_SimplifiedChinese,Chinois simplifié,Vereinfachtes Chinesisch,Forenklet kinesisk,China Sederhana,Forenklet kinesisk,Förenklad kinesiska,Vereenvoudigd Chinees,Tiếng Trung giản thể,Bahasa Cina Ringkas,중국어 간체
Settings_Language_TraditionalChinese,Chinois traditionnel,Traditionelles Chinesisch,Traditionelt kinesisk,China Tradisional,Tradisjonell kinesisk,Traditionell kinesiska,Traditioneel Chinees,Tiếng Trung phồn thể,Bahasa Cina Tradisional,중국어 번체
Settings_Language_Japanese,Japonais,Japanisch,Japanisch,Jepang,Japansk,Japanska,Japans,Tiếng Nhật,Bahasa Jepun,일본어
Settings_Language_SpanishSpain,Espagnol (Espagne),Spanisch (Spanien),Spansk (Spanien),Spanyol (Spanyol),Spansk (Spania),Spanska (Spanien),Spaans (Spanje),Tiếng Tây Ban Nha (Tây Ban Nha),Sepanyol (Sepanyol),스페인어 (스페인)
Settings_Language_SpanishLatinAmerica,Espagnol (Amérique latine),Spanisch (Lateinamerika),Spansk (Latinamerika),Spanyol (Amerika Latin),Spansk (Latin-Amerika),Spanska (Latinamerika),Spaans (Latijns-Amerika),Tiếng Tây Ban Nha (Mỹ Latinh),Sepanyol (Amerika Latin),스페인어 (라틴아메리카)
Settings_Language_PortugueseBrazil,Portugais (Brésil),Portugiesisch (Brasilien),Portugisisk (Brasilien),Portugis (Brasil),Portugisisk (Brasil),Portugisiska (Brasilien),Portugees (Brazilië),Tiếng Bồ Đào Nha (Brasil),Portugis (Brazil),포르투갈어 (브라질)
Settings_Language_PortuguesePortugal,Portugais (Portugal),Portugiesisch (Portugal),Portugisisk (Portugal),Portugis (Portugal),Portugisisk (Portugal),Portugisiska (Portugal),Portugees (Portugal),Tiếng Bồ Đào Nha (Bồ Đào Nha),Portugis (Portugal),포르투갈어 (포르투갈)
Settings_ArmAppearance,Apparence du bras,Armaussehen,Armudseende,Tampilan Lengan,Armutseende,Armutseende,Armuiterlijk,Ngoại hình cánh tay,Paparan Lengan,팔 외형
Settings_ArmAppearance_Tone,Bras {0},Arm {0},Arm {0},Lengan {0},Arm {0},Arm {0},Arm {0},Cánh tay {0},Lengan {0},팔 {0}
Settings_ShowOverFullscreenApps,Afficher par-dessus les applications en plein écran,Über Vollbild-Apps anzeigen,Vis over fuldskærmsapps,Tampilkan di atas aplikasi layar penuh,Vis over fullskjermsapper,Visa över helskärmsappar,Weergeven boven apps op volledig scherm,Hiển thị trên ứng dụng toàn màn hình,Papar di atas aplikasi skrin penuh,전체 화면 앱 위에 표시
Settings_EnhancedAlwaysOnTop,Toujours au premier plan amélioré,Erweitertes Immer im Vordergrund,Forbedret altid øverst,Selalu di Atas yang Ditingkatkan,Forbedret alltid øverst,Förbättrat alltid överst,Verbeterd altijd bovenaan,Tăng cường luôn ở trên,Dipertingkatkan Sentiasa Di Atas,강화된 항상 위
Settings_ProactiveInteractionHints,Conseils d'interaction proactifs,Proaktive Interaktionshinweise,Proaktive interaktionstip,Petunjuk Interaksi Proaktif,Proaktive interaksjonstips,Proaktiva interaktionstips,Proactieve interactietips,Gợi ý tương tác chủ động,Petua Interaksi Proaktif,능동적 상호작용 힌트
Settings_RightClickQuickModeSwitch,Activer le changement rapide de mode par clic droit,Schnellen Moduswechsel per Rechtsklick aktivieren,Aktivér hurtigt tilstandsskift med højreklik,Aktifkan Pergantian Mode Cepat Klik Kanan,Aktiver rask modusbytte med høyreklikk,Aktivera snabbt lägesbyte med högerklick,Snelle moduswissel met rechtermuisklik inschakelen,Bật chuyển đổi chế độ nhanh bằng chuột phải,Dayakan Pertukaran Mod Pantas Klik Kanan,오른쪽 클릭 빠른 모드 전환 활성화
Settings_PreventAccidentalDrag,Empêcher les glissements accidentels,Versehentliches Ziehen verhindern,Undgå utilsigtet træk,Cegah Seret Tidak Sengaja,Forhindre utilsiktet draing,Förhindra oavsiktlig dragning,Onbedoeld slepen voorkomen,Ngăn kéo nhầm,Cegah Seret Tidak Sengaja,실수로 끌기 방지
Settings_DesktopPet,Compagnon de bureau,Desktop-Begleiter,Skrivebordskæledyr,Peliharaan Desktop,Skrivebordskjæledyr,Skrivbordskompis,Bureaubladmaatje,Thú cưng màn hình nền,Haiwan Peliharaan Desktop,데스크톱 펫
Settings_AutoHidePanelOnFocusLoss,Masquer automatiquement le panneau à la perte du focus,Panel bei Fokusverlust automatisch ausblenden,Skjul panelet automatisk ved fokus-tab,Sembunyikan Panel Otomatis saat Kehilangan Fokus,Skjul panelet automatisk når fokus mistes,Dölj panelen automatiskt vid fokusförlust,Paneel automatisch verbergen bij focusverlies,Tự động ẩn bảng khi mất tiêu điểm,Sembunyikan Panel Secara Automatik Apabila Hilang Fokus,포커스를 잃으면 패널 자동 숨기기
Settings_TongueInstantMode,Mode langue instantané,Sofortiger Zungenmodus,Øjeblikkelig tungestatus,Mode Lidah Instan,Umiddelbar tungemodus,Omedelbart tungläge,Directe tongmodus,Chế độ lưỡi tức thì,Mod Lidah Serta-merta,즉시 혀 모드
Settings_AlwaysShowBlindBoxBubble,Toujours afficher la bulle de boîte surprise,Blindbox-Sprechblase immer anzeigen,Vis altid blindboksboblen,Tampilkan Gelembung Kotak Misteri Selalu,Vis alltid blindboksboblen,Visa alltid blindbox-bubblan,Blindbox-bubbel altijd weergeven,Luôn hiển thị bong bóng hộp mù,Sentiasa Papar Buih Kotak Misteri,블라인드 박스 말풍선 항상 표시
Settings_Convenience,Pratique,Komfort,Bekvemmelighed,Kemudahan,Bekvemmelighet,Bekvämlighet,Gemak,Tiện ích,Kemudahan,편의 기능
Settings_AutoEquipNewOutfits,Équiper automatiquement les nouvelles tenues,Neue Outfits automatisch ausrüsten,Udstyr automatisk nye outfits,Kenakan Otomatis Pakaian Baru,Utstyr nye antrekk automatisk,Utrusta nya kläder automatiskt,Nieuwe outfits automatisch uitrusten,Tự động trang bị trang phục mới,Lengkapkan Pakaian Baharu Secara Automatik,새 의상 자동 장착
Settings_SnapToWindowsTaskbar,Ancrer à la barre des tâches Windows,An Windows-Taskleiste andocken,Fastgør til Windows-proceslinjen,Tempel ke Taskbar Windows,Fest til Windows-oppgavelinjen,Fäst vid Windows aktivitetsfält,Vastmaken aan de Windows-taakbalk,Hít vào thanh tác vụ Windows,Lekat pada Bar Tugas Windows,Windows 작업 표시줄에 맞추기
Settings_PrivacyAndSafety,Confidentialité et sécurité,Datenschutz und Sicherheit,Privatliv og sikkerhed,Privasi & Keamanan,Personvern og sikkerhet,Sekretess och säkerhet,Privacy en veiligheid,Quyền riêng tư & An toàn,Privasi & Keselamatan,개인정보 및 안전
Settings_StreamerSafeMode,Mode sécurisé pour le streaming,Sicherer Streamer-Modus,Sikker streamingtilstand,Mode Aman Streamer,Sikker streamermodus,Säkert streamerläge,Veilige streamermodus,Chế độ an toàn cho streamer,Mod Selamat Penstrim,스트리머 안전 모드
Settings_Display,Affichage,Anzeige,Visning,Tampilan,Visning,Visning,Weergave,Hiển thị,Paparan,표시
Settings_CounterDisplay,Affichage du compteur,Zähleranzeige,Tællervisning,Tampilan Penghitung,Tellervisning,Räknarvisning,Tellerweergave,Hiển thị bộ đếm,Paparan Kaunter,카운터 표시
Settings_CounterDisplay_Clock,Horloge,Uhr,Ur,Jam,Klokke,Klocka,Klok,Tạm dừng,Jam,시계
Settings_CounterDisplay_Chips,Points,Punkte,Point,Poin,Poeng,Poäng,Punten,Điểm,Mata,포인트
Settings_CounterDisplay_Hidden,Masqué,Ausgeblendet,Skjult,Tersembunyi,Skjult,Dold,Verborgen,Ẩn,Tersembunyi,숨김
Settings_CenterCounterOnTaskbar,Centrer le compteur selon la hauteur de la barre des tâches,Zähler innerhalb der Taskleistenhöhe zentrieren,Centrér tælleren efter proceslinjens højde,Tengahkan Penghitung dalam Tinggi Taskbar,Sentrer telleren innenfor høyden på oppgavelinjen,Centrera räknaren inom aktivitetsfältets höjd,Teller binnen taakbalkhoogte centreren,Căn giữa bộ đếm theo chiều cao thanh tác vụ,Tengah Kaunter Mengikut Ketinggian Bar Tugas,작업 표시줄 높이 내에서 카운터 가운데 맞춤
Settings_SaveData,Données de sauvegarde,Speicherdaten,Gemte data,Data Simpanan,Lagringsdata,Sparade data,Opslaggegevens,Dữ liệu lưu,Dara Simpanan,저장 데이터
Settings_ResetSaveData,Réinitialiser les données de sauvegarde,Speicherdaten zurücksetzen,Gemte data nulstil,Reset Data Simpanan,Tilbakestill lagringsdata,Återställ sparade data,Opslaggegevens resetten,Đặt lại dữ liệu lưu,Tetapkan Semula Data Simpanan,저장 데이터 초기화
Settings_ResetSaveMessage,"Réinitialiser les données de sauvegarde locales ? Cela supprimera les jetons, les objets possédés et les objets équipés. Les succès Steam et les autres données associées à votre compte Steam ne seront pas affectés. Sauf si vous voulez recommencer ou résoudre un problème, nous vous déconseillons de réinitialiser vos données.","Lokale Speicherdaten zurücksetzen? Dadurch werden Chips, besessene und ausgerüstete Gegenstände gelöscht. Steam-Erfolge und andere mit deinem Steam-Konto verknüpfte Daten bleiben erhalten. Wir empfehlen das Zurücksetzen nur, wenn du neu beginnen oder ein Problem beheben möchtest.","Nulstil lokale gemte data? Dette sletter point, ejede genstande og udstyrede genstande. Steam-præstationer og andre data knyttet til din Steam-konto påvirkes ikke. Vi anbefaler kun nulstilling hvis du vil starte forfra eller løse et problem.","Reset data simpanan lokal? Ini akan menghapus poin, item yang dimiliki, dan item yang dikenakan. Pencapaian Steam dan data lain yang terkait dengan akun Steam Anda tidak akan terpengaruh. Kami tidak menyarankan reset kecuali Anda ingin memulai ulang atau memecahkan masalah.","Tilbakestille lokale lagringsdata? Dette fjerner poeng, eide gjenstander og utstyrte gjenstander. Steam-prestasjoner og andre data knyttet til Steam-kontoen din påvirkes ikke. Vi anbefaler ikke tilbakestilling med mindre du vil starte på nytt eller feilsøke et problem.","Återställa lokala sparade data? Detta rensar poäng, ägda föremål och utrustade föremål. Steam-prestationer och annan data kopplad till ditt Steam-konto påverkas inte. Vi rekommenderar inte återställning om du inte vill börja om eller felsöka ett problem.","Lokale opslaggegevens resetten? Hiermee worden punten, bezeten items en uitgeruste items gewist. Steam-prestaties en andere gegevens die aan je Steam-account zijn gekoppeld blijven behouden. We raden resetten alleen aan als je opnieuw wilt beginnen of een probleem wilt oplossen.","Đặt lại dữ liệu lưu cục bộ? Thao tác này sẽ xóa điểm, vật phẩm sở hữu và vật phẩm đang trang bị. Thành tựu Steam và dữ liệu khác liên kết với tài khoản Steam của bạn sẽ không bị ảnh hưởng. Chúng tôi không khuyến nghị đặt lại trừ khi bạn muốn bắt đầu lại hoặc khắc phục sự cố.","Tetapkan semula data simpanan tempatan? Ini akan memadam mata, item yang dimiliki dan item yang dilengkapkan. Pencapaian Steam serta data lain yang berkaitan dengan akaun Steam anda tidak akan terjejas. Kami tidak mengesyorkan tetapan semula melainkan anda mahu bermula semula atau menyelesaikan masalah.","로컬 저장 데이터를 초기화할까요? 포인트, 보유 아이템, 장착 아이템이 삭제됩니다. Steam 업적 및 Steam 계정과 연결된 기타 데이터는 영향을 받지 않습니다. 처음부터 다시 시작하거나 문제를 해결해야 하는 경우가 아니라면 초기화를 권장하지 않습니다."
Settings_ResetSaveConfirm,Réinitialiser,Zurücksetzen,Nulstil,Reset,Tilbakestill,Återställ,Resetten,Đặt lại,Tetapkan Semula,초기화
Wardrobe_EmptyCategory,Pas encore d'objets dans cette catégorie. Il est temps d'en trouver !,Noch keine Gegenstände in dieser Kategorie. Zeit welche zu finden!,Ingen genstande i denne kategori endnu. Tid til at finde nogle!,Belum ada item di kategori ini. Saatnya mencari!,Ingen gjenstander i denne kategorien ennå. På tide å finne noen!,Inga föremål i denna kategori ännu. Dags att hitta några!,Nog geen items in deze categorie. Tijd om er wat te vinden!,Chưa có vật phẩm trong danh mục này. Đến lúc kiếm vài món rồi!,Belum ada item dalam kategori ini. Masa untuk mencari!,이 카테고리에는 아직 아이템이 없어요. 찾아볼 시간이에요!
LinkTree_ComingSoon,Bientôt disponible,Demnächst,Kommer snart,Segera hadir,Kommer snart,Kommer snart,Binnenkort,Ra mắt sớm,Akan datang,곧 출시
InfoPanel_Chips,Jetons,Chips,Point,Poin,Poeng,Poäng,Fiches,Điểm,Mata,칩
InfoPanel_Chips_Safe,Points de chance,Glückspunkte,Heldige point,Poin Keberuntungan,Lykkepoeng,Turpoäng,Gelukspunten,Điểm may mắn,Mata Tuah,행운 포인트
InfoPanel_Open,Ouvrir la boîte,Box öffnen,Åbn boks,Buka Kotak,Åpne boks,Öppna låda,Doos openen,Mở hộp,Buka Kotak,상자 열기
InfoPanel_Menu,Menu,Menü,Menu,Menu,Meny,Meny,Menu,Menu,Menu,메뉴
InfoPanel_GoodLuck,Bonne chance !,Viel Glück!,Held og lykke!,Semoga beruntung!,Lykke til!,Lycka till!,Veel succes!,Chúc may mắn!,Semoga berjaya!,행운을 빌어요!
InfoPanel_Nothing,Rien,Nichts,Intet,Tidak ada,Ingenting,Ingenting,Niets,Không có,Tiada,없음
InfoPanel_YouWin,Vous gagnez {0},Du gewinnst {0},Du vinder {0},Anda menang {0},Du vinner {0},Du vinner {0},Je wint {0},Bạn thắng {0},Anda menang {0},{0} 획득
Paytable_OnePair,Une paire,Ein Paar,Et par,Satu Pasang,Ett par,Ett par,Eén paar,Một đôi,Satu Pasang,원 페어
Paytable_OnePair_Safe,Chiens vedettes,Top-Hunde,Tophunde,Anjing Unggulan,Topp-hunder,Topp-hundar,Tophonden,Chó nổi bật,Anjing Pilihan,최고의 강아지
Paytable_TwoPair,Deux paires,Zwei Paare,To par,Dua Pasang,To par,TVå par,Twee paar,Hai đôi,Dua Pasang,투 페어
Paytable_TwoPair_Safe,Paires de chiots,Hundepaar,To hunde,Pasangan Anjing,Hundepar,Hundpar,Hondenpaar,Cặp chó,Pasangan Anjing,강아지 한 쌍
Paytable_ThreeOfAKind,Brelan,Drilling,Tre ens,Tiga Sejenis,Trilling,Triss,Drie dezelfde,Bộ ba,Tiga Sejenis,트리플
Paytable_ThreeOfAKind_Safe,Trio de copains,Hundetrio,Tre venner,Trio Kawan,Hundetrio,Hundtrio,Hondentrio,Bộ ba chó,Trio Anjing,강아지 트리오
Paytable_Straight,Quinte,Straße,Straight,Lurus,Straight,Straight,Straat,Sảnh,Lurus,스트레이트
Paytable_Straight_Safe,Promenade en chaîne,Ketten-Spaziergang,Kædegang,Jalan Berantai,Lenketur,Kedjepromenad,Kettingwandeling,Đi dạo theo chuỗi,Jalan Rantai,연속 산책
Paytable_Flush,Couleur,Flush,Flush,Flush,Flush,Flush,Flush,Thùng,Flush,플러시
Paytable_Flush_Safe,Niche assortie,Passende Hundehütte,Matchende hundehus,Kandang Serasi,Matchende hundehus,Matchande hundkoja,Bijpassend hondenhok,Chuồng hợp màu,Kandang Sepadan,어울리는 집
Paytable_FullHouse,Full,Full House,Full House,Full House,Full House,Full House,Full House,Cù lũ,Full House,풀 하우스
Paytable_FullHouse_Safe,Fête des chiots,Welpenparty,Hvalpefest,Pesta Anak Anjing,Valpefest,Valpfest,Puppyfeest,Tiệc cún con,Pesta Anak Anjing,강아지 파티
Paytable_FourOfAKind,Carré,Vierling,Fire ens,Empat Sejenis,Firerling,Fyrtal,Vier dezelfde,Tứ quý,Empat Sejenis,포 카드
Paytable_FourOfAKind_Safe,Escouade canine,Hunderudel,Hundehold,Pasukan Anjing,Hundetropp,Hundpatrull,Hondenploeg,Đội chó,Pasukan Anjing,강아지 부대
Paytable_StraightFlush,Quinte flush,Straight Flush,Straight Flush,Straight Flush,Straight Flush,Straight Flush,Straight Flush,Thùng phá sảnh,Straight Flush,스트레이트 플러시
Paytable_StraightFlush_Safe,Frappe de race pure,Reinrassiger Treffer,Racehundestrike,Serangan Ras Murni,Rasehundslag,Rashundsträff,Rashondtreffer,Đòn thuần chủng,Serangan Baka Tulen,순종 스트라이크
Paytable_RoyalFlush,Quinte royale,Royal Flush,Royal Flush,Royal Flush,Royal Flush,Royal Flush,Royal Flush,Sảnh rồng,Royal Flush,로열 플러시
Paytable_RoyalFlush_Safe,Festin royal,Königsmahl,Kongelig fest,Pesta Kerajaan,Kongelig fest,Kunglig fest,Koninklijk feest,Đại tiệc hoàng gia,Jamu Diraja,왕실 만찬
BlindBox_TapToPowerUp,Appuyez pour tenter une amélioration…,Tippen für Upgrade-Versuch…,Tryk for at prøve at opgradere…,Ketuk untuk mencoba peningkatan…,Trykk for å prøve oppgradering…,Tryck för att försöka uppgradera…,Tik om een upgrade te proberen…,Chạm để thử nâng cấp…,Ketik untuk cuba menaik taraf…,탭하여 업그레이드 시도…
BlindBox_OpenItUp,Ouvrez-la !,Öffne sie!,Åbn den!,Buka!,Åpne den!,Öppna den!,Open hem!,Mở ra nào!,Bukalah!,열어 보세요!
BlindBox_TapToClaim,Appuyez pour récupérer,Tippen zum Abholen,Tryk for at hente,Ketuk untuk klaim,Trykk for å hente,Tryck för att hämta,Tik om te claimen,Chạm để nhận,Ketik untuk tuntut,탭하여 받기
BlindBox_AutoClaimingInSeconds,Récupération automatique dans {0} s,Automatische Abholung in {0} s,Automatisk hentning om {0} s,Klaim otomatis dalam {0} dtk,Automatisk henting om {0} s,Automatisk hämtning om {0} s,Automatisch claimen over {0} s,Tự động nhận sau {0} giây,Tuntutan automatik dalam {0}s,{0}초 후 자동 수령
